skl_trade|Վաճառառութիւն
skl_reserved_5_desc|Այս է պահեստի կարողութիւն.
skl_reserved_6|Պահեստի Կարողութիւն 6
skl_reserved_6_desc|Այս է պահեստի կարողութիւն.
skl_reserved_7|Պահեստի Կարողութիւն 7
skl_reserved_7_desc|Այս է պահեստի կարողութիւն.
skl_reserved_8|Պահեստի Կարողութիւն 8
skl_reserved_8_desc|Այս է պահեստի կարողութիւն.
skl_looting|Աւարառութիւն
skl_looting_desc|Հմտութիւնս այս յաւելու զաւարն զոր շահիս %%10-աւ վասն ամենայն աստիճանի հմտութեանս: (Հմտութիւն խմբի)
skl_horse_archery|Աղեղնաձգութիւն հեծելազօրի
skl_horse_archery_desc|Նուազեցուցանէ զվնաս եւ զանճշդութիւն աղեղան կամ նետողական զինուց ի վերայ երիվարի: (Հմտութիւն անձնական)
skl_riding|Հեծելութիւն
skl_riding_desc|Տայ քեզ հեծնուլ ի վերայ երիվարաց որք պահանջեն բարձրագոյն հմտութիւն, եւ յաւելու զարագութիւն եւ զդիւրաշարժութիւն ձիոյն: (Հմտութիւն անձնական)
skl_athletics|Արագաշարժութիւն
skl_athletics_desc|Յաւելու զարագութիւն ընթացից քոց: (Հմտութիւն անձնական)
skl_shield|Պատսպարութիւն Վահանաւ
skl_shield_desc|Նուազեցուցանէ զվնաս վահանաց %%8-աւ վասն ամենայն աստիճանի հմտութեանս, եւ յաւելու զարագութիւն եւ զտեղի պաշտպանութեան նոցա: (Հմտութիւն անձնական)
skl_weapon_master|Արուեստագիտութիւն Զինուց
skl_weapon_master_desc|Յաւելու զսահմանս հմտութեան զինուց: Սահմանքն յաւելուն այսպէս: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420: (Հմտութիւն անձնական)
skl_reserved_9|Պահեստի Կարողութիւն 9
skl_reserved_9_desc|Այս է պահեստի կարողութիւն.
skl_reserved_10|Պահեստի Կարողութիւն 10
skl_reserved_10_desc|Այս է պահեստի կարողութիւն.
skl_reserved_11|Պահեստի Կարողութիւն 11
skl_reserved_11_desc|Այս է պահեստի կարողութիւն.
skl_reserved_12|Պահեստի Կարողութիւն 12
skl_reserved_12_desc|Այս է պահեստի կարողութիւն.
skl_reserved_13|Պահեստի Կարողութիւն 13
skl_reserved_13_desc|Այս է պահեստի կարողութիւն.
skl_power_draw|Զօրութիւն Աղեղան
skl_power_draw_desc|Ամենայն կէտ յաւելու զվնաս նետից %%14-աւ: (Հմտութիւն անձնական)
skl_power_throw|Զօրութիւն Նետողական
skl_power_throw_desc|Ամենայն կէտ յաւելու զվնաս նետողական զինուց %%10-աւ: (Հմտութիւն անձնական)
skl_power_strike|Զօրութիւն Հարուածոյ
skl_power_strike_desc|Ամենայն կէտ յաւելու զվնաս մերձամարտ զինուց %%8-աւ: (Հմտութիւն անձնական)
skl_ironflesh|Պնդակազմութիւն
skl_ironflesh_desc|Ամենայն կէտ յաւելու զառողջութիւն քո +2-աւ: (Հմտութիւն անձնական)
skl_reserved_14|Պահեստի Կարողութիւն 14
skl_reserved_14_desc|Այս է պահեստի կարողութիւն.
skl_reserved_15|Պահեստի Կարողութիւն 15
skl_reserved_15_desc|Այս է պահեստի կարողութիւն.
skl_reserved_16|Պահեստի Կարողութիւն 16
skl_reserved_16_desc|Այս է պահեստի կարողութիւն.
skl_reserved_17|Պահեստի Կարողութիւն 17
skl_reserved_17_desc|Այս է պահեստի կարողութիւն.
skl_reserved_18|Պահեստի Կարողութիւն 18
skl_reserved_18_desc|Այս է պահեստի կարողութիւն.
