str_no_string|,
str_center_relation_mnus_10|Ժողովուրդն աստ դժգոհ են քեզնէ:
str_center_relation_plus_0|Ժողովուրդն աստ անտարբեր են քեզ:
str_center_relation_plus_10|Ժողովուրդն աստ հաճեալ են ընդ քեզ:
str_center_relation_plus_20|Ժողովուրդն աստ օգնական են քեզ:
str_center_relation_plus_30|Ժողովուրդն աստ թուին օժանդակել քեզ:
str_center_relation_plus_40|Ժողովուրդն աստ օժանդակեն քեզ:
str_center_relation_plus_50|Ժողովուրդն աստ յոյժ օժանդակեն քեզ:
str_center_relation_plus_60|Ժողովուրդն աստ հաւատարիմ են քեզ:
str_center_relation_plus_70|Ժողովուրդն աստ յոյժ հաւատարիմ են քեզ:
str_center_relation_plus_80|Ժողովուրդն աստ հաստատուն հաւատարմութեամբ կապեալ են քեզ:
str_center_relation_plus_90|Ժողովուրդն աստ սիրով յարեալ են ի քեզ:
str_town_prosperity_0|{s60} է յոյժ աղքատ:
str_town_prosperity_10|{s60} թշուառ է եւ լքեալ:
str_town_prosperity_20|{s60} աղտեղի է եւ գրեթէ լքեալ:
str_town_prosperity_30|{s60} աղքատ է եւ անտեսեալ:
str_town_prosperity_40|{s60} տառապի յաղքատութենէ:
str_town_prosperity_50|{s60} աննշան երեւի:
str_town_prosperity_60|{s60} թուի բարգաւաճել:
str_town_prosperity_70|{s60} լի է գործունէութեամբ:
str_town_prosperity_80|{s60} հարուստ է եւ բարեկարգ:
str_town_prosperity_90|{s60} լի է մեծատամբք:
str_town_prosperity_100|{s60} փառաւոր է մեծութեամբ իւրով:
str_village_prosperity_0|{s60} է յոյժ աղքատ:
str_village_prosperity_10|{s60} թշուառ երեւի:
str_village_prosperity_20|{s60} աղքատ է եւ ամայի:
str_village_prosperity_30|{s60} աղքատ է եւ անտեսեալ:
str_village_prosperity_40|{s60} տառապի յաղքատութենէ:
str_village_prosperity_50|{s60} աննշան երեւի
str_village_prosperity_60|{s60} թուի բարգաւաճել:
str_village_prosperity_70|{s60} լաւանայ երեւի:
str_village_prosperity_80|{s60} հարուստ է եւ բարեկարգ:
str_village_prosperity_90|{s60} հարուստ երեւի:
str_village_prosperity_100|{s60} լի է արդիւնաբեր դաշտօք եւ հարուստ է յոյժ:
str_town_alt_prosperity_0|Սակաւ ինչ մթերք ի վաճառանոցի թանկագին են քան զկարողութիւն ժողովրդեան: Մարդիկ սովալլուկ են, անասունք հիւանդ, գործիք կոտորեալ: Բակք լի են ճանճօք եւ շանց:
str_town_alt_prosperity_20|Ի վաճառանոցի լսին տրտունջք զգնոց մթերից, կրպակք կիսով դատարկ են: Մարդիկ եւ անասունք թուին սովալլուկ, շինուածք եւ գործիք անխնամ են ի բազում ժամանակաց: Բազումք գաղթեալ են յայլ վայրս:
str_town_alt_prosperity_40|Մերթ լսին տրտունջք զգնոց, բայց մթերք բաւական են: Տեսանին սակաւ ինչ լքեալ շինուածք, բայց ոչ յոյժ բազում:
str_town_alt_prosperity_60|Մարդիկ թուին կշտացեալք եւ գոհ: Արուեստաւորք բարգաւաճին, եւ եկուորք գան յայս կողմանս:
str_town_alt_prosperity_80|Պարիսպք, փողոցք եւ տունք բարեկարգ են: Վաճառականք գան յայլ կողմանց: Լսին ձայնք մուրճից յարուեստանոցս:
str_village_alt_prosperity_0|Սակաւաւորք կարող են գործել ի դաշտս: Այլք տկարացեալ են սովոյ կամ լքեալ զտեղին: Անասունք մեռեալ են սովամահ: Կմախք նոցա երեւին յարտաքին կողմանս զորս գազանք կրծեն:
str_village_alt_prosperity_20|Սակաւ մշակք երեւին ի դաշտս, զի բազումք գնացեալ են խնդրել զկերակուր: Գործիք ժանգահար են: Փուշք եւ տատասկք ծածկեցին զդաշտս:
str_village_alt_prosperity_40|Դաշտք եւ այգիք լի են մշակօք: Մարդիկ եւ անասունք առողջ երեւին: Բայց սակաւ ինչ դաշտք անմշակ են, զի զօրութիւն բաւական չէ զամենայն գործել:
str_village_alt_prosperity_60|Մշակք գործեն ի դաշտս փութաջան. պարկք լի են ցորենով եւ մսով, որպէս նշան բարեբերութեան:
str_village_alt_prosperity_80|Մշակք գործեն փութաջան. նոր ջրանցքք երեւին, որպէս նշան զօրութեան եւ ժամանակի: Պանդուխտք գան ի գեւղն աշխատել:
str_oasis_village_alt_prosperity_0|Այգիք արմաւենեաց լքեալ են, ջրանցքք խցեալ: Սակաւաւոր գեղջուկք տկար երեւին: Անասունք մեռեալ են սովամահ: Գայլք եւ շնագայլք կրծեն զկմախքս նոցա:
str_oasis_village_alt_prosperity_20|Սակաւ գեղջուկք խնամեն զարմաւենիս: Աւազք անապատի ծածկեցին զայգիս: Ջրանցքք խցեալ են աւազով, ջրհորք դատարկ:
str_oasis_village_alt_prosperity_40|Արք եւ կանայք խնամեն զարմաւենիս: Անասունք առողջ են: Բայց ջրանցքք կարօտին նորոգման:
str_oasis_village_alt_prosperity_60|Մշակք գործեն փութաջան յայգիս: Ձայնք նոցա լսին ուրախութեամբ: Ջուրք հոսեն առատութեամբ ի ջրանցքս:
str_oasis_village_alt_prosperity_80|Մշակք գործեն փութաջան: Բազում արմաւք բեռնին ի սայլս առ ի վաճառել: Մարդիկ փորեն նոր ջրհորս առ ի ընդարձակել զայգիս:
str_acres_grain|ակր հացահատիկի
str_acres_orchard|ակր այգեաց
str_acres_oasis|ակր արմաւենեաց
str_looms|ոստայնանկութեան գործիք
str_boats|նաւակք
str_head_cattle|գլուխ անասնոց
str_head_sheep|գլուխ մաքեաց
str_mills|ջրաղացք
str_kilns|հնոցք
str_pans|կարասք
str_deposits|երկաթահանք
str_hives|փեթակք
str_breweries|գարեջրատունք
str_presses|հնձանը
str_smithies|դարբնոցք
str_caravans|կարաւանք
str_traps|որոգայթք
str_gardens|պարտէզք
str_tanneries|կաշեգործարանք
str_master_miller|Ջրաղացպան
str_master_brewer|Գարեջրագործ
str_master_presser|Ձիթհան
str_master_smith|Դարբնապետ
str_master_tanner|Կաշեգործապետ
str_master_weaver|Ոստայնանկապետ
str_master_dyer|Ներկարարապետ
str_war_report_minus_4|պատրաստ եմք պարտութեան
str_war_report_minus_3|իրքն չեն բարի
str_war_report_minus_2|գործքն չեն յաջող
str_war_report_minus_1|միաբանութեամբ կարող եմք յաղթել
str_war_report_0|հաւասար եմք թշնամեաց
str_war_report_plus_1|յոյս յաղթութեան է առաւել
str_war_report_plus_2|գործքն յաջողին յոյժ
str_war_report_plus_3|դիւրին է յաղթել նոցա
str_war_report_plus_4|պատրաստ եմք յաղթութեան
str_persuasion_summary_very_bad|{s50} կայ առաջի քո եւ դու ջանաս համոզել զնա, բայց բանք քո են ունայն: Յորժամ թուի թէ բանք քո ունին զօրութիւն, դու սխալիս եւ ասես զանպատշաճս: Ի վախճան խօսիցդ գիտես զի ոչինչ օգտեցար, այլ եւս առաւել վնասեցեր անձին քում: Որպէս եւ ակնկալէր, {s50} չէ բնաւ հաճեալ:
str_persuasion_summary_bad|Հազիւ սկսեալ զբանս քո, {s50} վանէ զքեզ ի սկզբանէ: Լաւագոյն բանք քո թուին քեզ ունայն: {s50} ոչինչ ակնկալէ ի քէն:
str_persuasion_summary_average|{s50} երեւեցուցանէ զմիտս սուրս եւ զարուեստ խօսից: Դու չկարացեր ասել զայնպիսի ինչ որ ստիպեսցէ զնա փոխել զմիտս իւր: Ի վերջոյ, ոչ դու եւ ոչ նա կարացայք յաղթել ի վիճաբանութեան:
str_persuasion_summary_good|Արագախօսութեամբ եւ սրամտութեամբ դու զօրացուցանես զբանս քո եւ ստիպես զ{s50} ընդունել զբազում ինչ: Սակայն {s50} տակաւին ունի երկմտութիւնս զխնդրոյ քումմէ:
str_persuasion_summary_very_good|Խօսիս զբանս հրաշալիս որք հնչեն յականջս ամենեցուն: Թուի թէ աշխարհն լռեաց լսել զքեզ: {s50} յոյժ զարմացեալ է եւ պատրաստ է օգնել քեզ յամենայնի:
str_secret_sign_1|Պահարանն կաքաւէ ի մեջ գիշերի..
str_secret_sign_2|Վաճառեմ զայս գեղեցիկ Քերգիտեան գորգս: Կամի՞ս գնել:
str_secret_sign_3|Բարեկամ բարեկամի իմոյ առաքեաց զիս...
str_secret_sign_4|Հողմն փչէ սաստիկ յարեւելից եւ գետն ներկի արեամբ...
str_countersign_1|Բայց կաքաւէ՞ վասն մոմակալի, թէ վասն այլոց:
str_countersign_2|Այո՛, ունի՞ս զկապոյտն:
str_countersign_3|Բայց բարեկամ, բարեկամ բարեկամի քոյ երբեք ոչ ունիցի զբարեկամ որպէս զիս:
str_countersign_4|Հիւա՞նդ էիր:
str_name_1|Ալբարդ
str_name_2|Էուսկարլ
str_name_3|Սիգմար
str_name_4|Տալեսկէ
str_name_5|Ռիտմանդ
str_name_6|Աելս
str_name_7|Ռաուրքէ
str_name_8|Բրագամուս
str_name_9|Տաարլ
str_name_10|Ռամին
str_name_11|Շուլկ
str_name_12|Պուտար
str_name_13|Տամուս
str_name_14|Ռեյխադ
str_name_15|Վալխէաս
str_name_16|Ռուլկհ
str_name_17|Մարլունդ
str_name_18|Աւգուրին
str_name_19|Դայրադ
str_name_20|Յոայահ
str_name_21|Ռամար
str_name_22|Կալդարան
str_name_23|Բրաբաս
str_name_24|Կունդրին
str_name_25|Պեխնակ
str_surname_1|{s50} Իւքսհալացի
str_surname_2|{s50} Վերչեգացի
str_surname_3|{s50} Ռեյվադինացի
str_surname_4|{s50} Սունոյեցի
str_surname_5|{s50} Ելկալացի
str_surname_6|{s50} Վելուկացի
str_surname_7|{s50} Հալմարացի
str_surname_8|{s50} Կուրաւացի
str_surname_9|{s50} Սարգոթացի
str_surname_10|{s50} Տիրացի
str_surname_11|{s50} Զենդարացի
str_surname_12|{s50} Ռիվաչեգացի
str_surname_13|{s50} Վերչեգացի
str_surname_14|{s50} Էհլերդագացի
str_surname_15|{s50} Յարագարացի
str_surname_16|{s50} Բուրգլենացի
str_surname_17|{s50} Շապեշտեցի
str_surname_18|{s50} Հանունացի
str_surname_19|{s50} Սարենացի
str_surname_20|{s50} Տոշդարացի
str_surname_21|{s50} Երկայն
str_surname_22|{s50} Նիհար
str_surname_23|{s50} Մետաքսամօրուս
str_surname_24|{s50} Ճնճղուկ
str_surname_25|{s50} Աղքատ
str_surname_26|{s50} Խարանեալ
str_surname_27|{s50} Արդար
str_surname_28|{s50} Անողորմ
str_surname_29|{s50} Շիկահեր
str_surname_30|{s50} Սեւ
str_surname_31|{s50} Բարձր
str_surname_32|{s50} Աստղակն
str_surname_33|{s50} Անվախ
str_surname_34|{s50} Քաջ
str_surname_35|{s50} Խորամանկ
str_surname_36|{s50} Վատասիրտ
str_surname_37|{s50} Պայծառ
str_surname_38|{s50} Արագ
str_surname_39|{s50} Սիրահար
str_surname_40|{s50} Յանդուգն
str_surname_41|{s50} Բարկացող
str_surnames_end|վերջ մականուանց
str_number_of_troops_killed_reg1|Թիւ սպանելոց զօրականաց: {reg1}
str_number_of_troops_wounded_reg1|Թիւ վիրաւորելոց զօրականաց: {reg1}
str_number_of_own_troops_killed_reg1|Թիւ սպանելոց դաշնակցաց: {reg1}
str_number_of_own_troops_wounded_reg1|Թիւ վիրաւորելոց դաշնակցաց: {reg1}
str_retreat|Նահանջ
str_siege_continues|Պատերազմն շարունակի...
str_casualty_display|Կորուստ: {s10}: Կորուստ թշնամեաց: {s11}: {s12}
str_casualty_display_hp|Ընկալար զ{reg1} հարուածս:
str_quest_log_updated|Մատեան յանձնարարութեանց նորոգեցաւ...
str_banner_selection_text|Այժմ ունիս զիրաւունս կրելոյ զդրօշ: Դրօշ քո եղիցի նշան պատուոյ եւ մեծութեան քո: Զո՞ր դրօշ կամիս ընտրել:
str_retirement_text_1|Յետ բազում ժամանակաց տեսանես զի արծաթ քո չէ բաւական: Զսակաւ ինչ զոր ժողովեցեր, վատնեցեր վաղվաղակի, եւ ոչ կարացեր դառնալ ի կարգս զինուորութեան: Լինիս մուրացիկ, ապրելով ողորմութեամբ եկեղեցւոյն {s9} եւ անցորդաց:
str_retirement_text_2|Յետ բազում ժամանակաց տեսանես զի արծաթ քո չէ բաւական: Զսակաւ ինչ զոր ժողովեցեր, վատնեցեր վաղվաղակի: Յորժամ վերջին դինարն պակասեաց, սկսանիս զկեանս մեղաւոր ի փողոցս {s9}, գողանալով զպղինձս ի կանանց եւ յաղքատաց առ ի պահել զանձն քո:
str_retirement_text_3|Յետ բազում ժամանակաց տեսանես զի արծաթ քո չէ բաւական: Զսակաւ ինչ զոր ժողովեցեր, վատնեցեր վաղվաղակի, եւ շրջիս ի պանդոկէ ի պանդոկ, պատմելով զառասպելս պատերազմաց զորս ոչ ոք հաւատայ, առ ի ընդունել սակաւ ինչ ըմպելի ի բարեացակամ մարդկանց:
str_retirement_text_4|Արծաթն զոր ժողովեցեր չէր բազում, բայց բաւական եղեւ գնել սակաւ ինչ հողս մօտ ի {s7}: Աստ լինիս ազատ մշակ եւ ձգես զուշադրութիւն հարսնացուաց: Փութով գեղջուկք սկսանին յարգել զքեզ որպէս զքաջն տեղւոյն: Ի խրախճանս միշտ ունիս զպատուաւոր տեղի, եւ պատմութիւնք քո լինին առասպելք ի պանդոկս, զի մանկունք յիշեսցեն զքեզ յաւիտեան:
str_retirement_text_5|Արծաթն քո չէր բազում, բայց բաւական եղեւ գնել սակաւ ինչ պանդոկ ի {s9}: Ժողովուրդն տեղւոյն սկզբանն անտեսէր զքեզ, բայց փութով սիրեցին զքեզ: Պանդոկ քո լինի վայր ժողովոյ եւ խրախճանաց: Մարդիկ գան ի հեռաստանէ լսել զպատմութիւնս քո զպատերազմաց, եւ ուտել ու ննջել ի յարկի քում:
str_retirement_text_6|Ի կեանս քո ժողովեցեր զարծաթն իմաստութեամբ: Այժմ հանճար քո եւ արծաթն թոյլ տան քեզ գործել զգործս շահաւէտս: Գնեցեր կրպակս եւ շտեմարանս ի {s9} եւ խորամանկութեամբ քով եղեր մեծ վաճառական քաղաքին: Փութով յայտնի եղեր ոչ միայն քաջութեամբդ, այլ եւ մեծութեամբ վաճառականութեան քո:
str_retirement_text_7|Արծաթն քո չէր բազում, բայց բաւական եղեւ գնել սակաւ ինչ պանդոկ ի {s9}: Ժողովուրդն տեղւոյն սկզբանն անտեսէր զքեզ, բայց փութով սիրեցին զքեզ: Պանդոկ քո լինի վայր ժողովոյ եւ խրախճանաց: Մարդիկ գան ի հեռաստանէ լսել զպատմութիւնս քո զպատերազմաց, եւ ուտել ու ննջել ի յարկի քում:
str_retirement_text_8|Գործեցեր յոյժ բարի ի կեանս քո: Մեծ հողք քո եւ արծաթն զոր եկիտ քաջութիւն քո, պահեն զքեզ ի հանգստեան մինչեւ ի վախճան: Ի պատուաւոր վայրի քում ի {s8}, պատերազմն փոխեցաւ ի քաղաքականութիւն, եւ փութով լինիս խորհրդական թագաւորին: Ունիս զխորամանկութիւնս, զանտառս որսոյ, զդահլիճս խրախճանաց եւ զբազում պատմութիւնս պատերազմաց զորս վայելես յամս քո վերջինս:
str_retirement_text_9|Տէր քո վասն հաւատարիմ ծառայութեան քոյ, ետ քեզ զտիտղոս ազնուականութեան: Այսուհետեւ եղիցիս Բարոն {s7} եւ լինիցիս մտերիմ խորհրդական տեառն քոյ: Անցուցանես զաւուրս քո ի կառավարել զհողս քո եւ ի յիշել զփառսն անցեալս:
str_retirement_text_10|Թէպէտ սկսար ի խոնարհութենէ, բայց եգիտեր շնորհս առաջի տեառն քոյ, եւ նա ետ քեզ զտիտղոս Կոմսի/Կոմսուհւոյ {s9}, որ զարմացոյց զամենեսեան: Մեծ հողք եւ գանձք են այժմ ի ձեռս քո: Լինիս հաւատարիմ խորհրդական տեառն քոյ, եւ նստիս ի գահ քո ի փառաւոր պալատի որպէս մի ի հզօրագոյն այրանց Կալրադիոյ:
str_loot_village|յարձակումն մեր ի վերայ անմեղ գեղջկաց
str_steal_from_villagers|գողութիւն մեր ի յաղքատ գեղջկաց
str_rob_caravan|կողոպտել մեր զկարաւան վաճառականաց
str_sell_slavery|վաճառել մեր զմարդիկ գերեվարաց
str_men_hungry|մնալ մեր առանց կերակրոյ
str_men_unpaid|չկարողանալ քո տալ զվարձս արանց քոց
str_excessive_casualties|դարձուցանել մեր զամենայն պատերազմ յարիւնահեղութիւն մերոցն
str_surrender|անձնատուր լինել մեր թշնամեաց
str_flee_battle|փախուստ մեր ի պատերազմէ
str_pay_bandits|տալ մեր զարծաթ յելուզակաց
str_fail_quest|պարտութիւն մեր ի յանձնարարութեան զոր ընկալաք երդմամբ
str_squander_money|վատնել մեր զարծաթ զոր հաւատացին մեզ
str_murder_merchant|սպանութիւն վաճառականի զոր գործեցաք
str_round_up_serfs|ժողովել մեր զգերիս վասն ազնուականի
str_battle_fate_1|կորուսանել մեր զմիմեանս ի խռովութեան պատերազմի
str_battle_fate_2|վիրաւորեցայ եւ լքայ ի մահ
str_battle_fate_3|նուաղեցայ ի թշնամեաց
str_battle_fate_4|ըմբռնեցայ եւ կալայ վասն փրկանաց
str_battle_fate_5|ըմբռնեցայ, բայց կարացի փախչել
str_npc_morale_report|Վասն ընտրութեան ընկերացդ եմ {s6}, վասն առաջնորդութեան քոյ եմ {s7}, եւ առհասարակ եմ {s8}:
str_happy|ուրախ
str_content|գոհ
str_concerned|տագնապեալ
str_not_happy|դժգոհ
str_miserable|թշուառ
str_morale_reg1| Կորով: {reg1}
str_bar_enthusiastic|                   Եռանդուն
str_bar_content|              Գոհ
str_bar_weary|          Յոգնեալ
str_bar_disgruntled|     Դժկամ
str_bar_miserable|  Թշուառ
str_here_plus_space|աստ 
str_npc1_intro|Ողջոյն քեզ, պանդուխտ: Ոչ եկիր ի վաճառանոցն խնդրել զհետախոյզ, այնպէս չէ՞:
str_npc2_intro|Ողջոյն: Կամի՞ս ըմպել ընդ իս: Ունիմ զվերջին հինգ դինարս իմ, եւ ոչ կամիմ միայնակ ըմպել:
str_npc3_intro|Բարի օր!
str_npc4_intro|Ողջոյն, ես եմ Ռոլֆ, որդի Ռոլֆի, ի հնամենի եւ մեծ տանէն Ռոլֆայ:
str_npc5_intro|Ողջոյն, պանդուխտ: Կամի՞ս յարել ի խրախճանս իմ:
str_npc6_intro|Մոլորեցայ... մոլորեցայ...
