qstr_Next_Page|Յաջորդ էջ
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?ուղեւորէր:ուղեւորի} առ {s3} եւ {reg3?էր:պարտի լինել} մերձ առ {s4}:
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?էր ի բացի:է ի բացի} եւ {reg3?էր:պարտի լինել} մերձ առ {s3}:
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?էր բանտարկեալ:է բանտարկեալ} ի զնդանի {s3}-ի:
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?էր գերի:է գերի} ի ձեռս թշնամեաց իւրոց:
qstr_{reg3?{s2}_s_locatio|Տեղի գտանելոյ {s2}
qstr_{s6}_has_joined_your|{s6} յարեցաւ ի զաւրախումբ ձեր:
qstr_You_now_owe_{reg2}_d|Դուք պարտիք {reg2} դինար {s1}-ի:
qstr_Renown_value_for_thi|Արժէք հռչակի վասն...
qstr_You_have_run_into_a_|Դուք անկայք ի դարան:
qstr_You_are_attacked_by_|Դուք յարձակեալ եղէք ի խմբէ յելուզակաց:
qstr_Holding|Կայ
qstr_Following|Հետեւի
qstr_Charging|Յարձակի
qstr_Advancing|Յառաջանայ
qstr_Falling_Back|Նահանջէ
qstr_Standing_Closer|Խտանայ
qstr_Spreading_Out|Ցրուի
qstr_Standing|Կայ
qstr_N/A|Ոչ է
qstr_Free|Ազատ
qstr_Any_Weapon|Ամենայն զէն
qstr_Blunt_Weapons|Բութ զէնք
qstr_{s1}_Rebels|Ապստամբք {s1}-ի
qstr_Given_by:_{s62}|Տուեալ ի: {s62}
qstr_Given_on:_{s60}|Տուեալ յաւուր: {s60}
qstr_You_have_{reg0}_days|Ունիք {reg0} աւուրս առ ի աւարտել զառաջադրանքս զայս:
qstr_This_quest_has_been_|Առաջադրանքս այս աւարտեցաւ: Խօսեա՛ց ընդ {s59}-ի:
qstr_This_quest_has_been_s|Առաջադրանքս այս յաջողութեամբ աւարտեցաւ: Խօսեա՛ց ընդ {s59}-ի եւ ա՛ռ զվարձս քո:
qstr_This_quest_has_faile|Առաջադրանքս այս ձախողեցաւ: Խօսեա՛ց ընդ {s59}-ի եւ բացատրեա՛ զեղեալն:
qstr_At_the_time_quest_wa|Յորժամ տուաւ առաջադրանքն:^{s1}
qstr_{s5}_has_a_strength_|Զաւրութիւն {s5}-ի: {reg1} մարտիկք
qstr_The_last_time_you_sa|Յետին անգամ տեսաք զնա ի {s1}:
qstr_The_last_time_you_he|Յետին լուր զնմանէ ընկալաք ի {s1}:
qstr_Current_garrison_con|Ի պահակազաւրի անդ գտանին {reg5} մարտիկք: {reg4?^Գոյ պաշար կերակրոյ վասն {reg6} աւուրց::}
qstr_Very_Poor|Յոյժ աղքատ
qstr_Poor|Աղքատ
qstr_Average|Միջակ
qstr_Rich|Հարուստ
qstr_Very_Rich|Յոյժ հարուստ
qstr_Manor|Ապարանք
qstr_A_manor_lets_you_res|Ապարանքն թոյլ տայ ձեզ բնակել ի գեւղի եւ նուազեցուցանէ զռոճիկ մարտիկաց կիսով չափ:
qstr_Mill|Ջրաղաց
qstr_A_mill_increases_vil|Ջրաղացն յաւելու զբարգաւաճութիւն գեւղին %5-ով:
qstr_Watch_Tower|Դիտանոց
qstr_A_watch_tower_lets_t|Դիտանոցն թոյլ տայ գեղջկացն կանխաւ ազդ առնել: Ժամանակ պահանջեալ վասն աւարելոյ զգեւղն յաւելու %25-ով:
qstr_School|Դպրոց
qstr_A_shool_increases_th|Դպրոցն յաւելու զհաւատարմութիւն գեղջկացն ամենայն ամիս +1-ով:
qstr_Messenger_Post|Սուրհանդակատուն
qstr_A_messenger_post_let|Սուրհանդակատունն թոյլ տայ գեղջկացն առաքել ձեզ պատգամս, նոյնիսկ եթէ հեռի իցէք դուք:
qstr_Prison_Tower|Բանտաշտարակ
qstr_A_prison_tower_reduc|Բանտաշտարակն նուազեցուցանէ զհնարաւորութիւն փախստեան գերեաց:
qstr_Prosperity_of_{s2}_h|Բարգաւաճութիւն {s2}-ի փոխեցաւ ի {s3}-է ի {s4}:
qstr_{s4}_looks_upset.|{s4} թուի տրտմեալ:
qstr_your_party|զաւրախումբ քո
qstr_{reg0?One_of_your_pr|{reg0?Գերի քո, :}{s1} ի {s3}-է փախեաւ ի գերութենէ:
qstr_You_brought_{reg3}_h|Դուք բերիք {reg3} գլուխ անասնոց վասն {s1}-ի:
qstr_I_heard_that_there_w|Լուայ, զի մերձ առ {s62} լինելոց է մրցութիւն:
qstr_I_heard_that_one_can|Լուայ, զի ի {s63} կարելի է գնել զ{s62} յոյժ էժան գնով:
qstr_I_heard_that_they_pa|Լուայ, զի ի {s63} վճարեն յոյժ բարձր գին վասն {s62}-ի:
qstr_two_days_ago|երկու աւուրք յառաջ
qstr_Best_threat_of_{s4}_|Լաւագոյն սպառնալիք {s4}-ի է {reg1} արժէքով
qstr_No_center_found_to_d|Ոչ գտաւ բնակավայր առ ի պաշտպանութիւն
qstr_You_gain_right_to_ru|Դուք վաստակեցիք իրաւունք տիրապետութեան
qstr_You_lose_right_to_ru|Դուք կորուսիք իրաւունք տիրապետութեան
qstr_Added_money_for_your|Յաւելեալ դրամք վասն ձերոյ...
qstr_You_got_keys_of_dung|Դուք ընկալաք զբանալիս զնդանին:
qstr_You_must_stay_behind|Պարտիք կալ յետոյ գծին! Միաւորն ոչ հաշուեցաւ:
qstr_Tutorial|Ուսուցումն
qstr_Calculating_value_of|Հաշուումն արժողութեան...
qstr_You_came_into_the_wo|Դուք ծնայք որպէս {reg3?դուստր:որդի} անկեալ ազնուականաց: Թէպէտ ընտանիք ձեր էր ի նեղութեան, բայց նոքա տուին ձեզ զբարի դաստիարակութիւն:
qstr_You_were_born_the_{r|Դուք ծնայք որպէս {reg3?դուստր:որդի} շրջիկ վաճառականաց: Թէպէտ նոքա էին հարուստք, բայց դուք սակաւ ժամանակ ունէիք վասն բարեկամաց, զբաղեալ լինելով վաճառառութեամբ:
qstr_As_a_child_your_fami|Ի մանկութեան, հայր ձեր էր պահապան տեառն ուրումն տեղականի: Ոչ էր դիւրին կեանք ձեր, եւ դուք փողոցսն ուսայք պաշտպանել զանձն:
qstr_{reg3?daughter:son}|{reg3?դուստր:որդի}
qstr_You_were_the_{reg3?d|Դուք էիք {reg3?դուստր:որդի} ընտանեաց բնակելոց ի մայրիս: Որսորդութիւն, փայտահատութիւն եւ նետագործութիւն էին արհեստք ձեր:
qstr_You_were_a_child_of_|Դուք էիք մանուկ դաշտաց, ծնեալ ի ցեղի շրջիկ քոչուորաց: Որպէս եւ այլք, ազգատոհմ ձեր յարգէր զձիս առաւել քան զամենայն, եւ դուք ուսայք հեծնուլ յառաջ քան զքայլելն:
qstr_As_the_{reg3?daughte|Որպէս {reg3?դուստր:որդի} գողի, դուք ոչ ընկալաք զկանոնաւոր ուսումն: Փոխանակ այնր դուք մուրացիք ի փողոցս եւ ապա ուսայք գողանալ զքսակս:
qstr_As_a_{reg3?girl:boy}|Որպէս {reg3?աղջիկ:մանուկ}, դուք առաքեցայք յապարանս ազնուականի ուրումն: Անդ դուք ուսայք զխոնարհութիւն եւ զկարգս արքունեաց, բայց նաեւ զնենգութիւնս քաղաքականութեան:
qstr_As_a_{reg3?girl:boy}_|Որպէս {reg3?աղջիկ:մանուկ}, դուք մտաք յաշակերտութիւն առ արհեստաւոր ոմն տեղական: Յետ բազում ամաց աշխատանաց դուք դարձայք օգնական նորա:
qstr_As_a_{reg3?girl:boy}_g|Որպէս {reg3?աղջիկ:մանուկ}, դուք եղէք աշակերտ հարուստ վաճառականի եւ ուսայք զարուեստ վաճառառութեան ի խանութս եւ ի կարաւանս:
qstr_As_a_{reg3?girl:boy}_gr|Որպէս {reg3?աղջիկ:մանուկ}, դուք բնակեցայք ի փողոցս, գործելով զամենայն ինչ առ ի ապրել: Դուք մուրացիք եւ գողացայք, կրելով զդառնութիւնս կենաց:
qstr_As_a_{reg3?girl:boy}_gro|Որպէս {reg3?աղջիկ:մանուկ}, դուք շրջեցայք ի տափաստանս ընդ ձիով ձերով: Դուք եղէք վարժ որսորդ եւ հետախոյզ ի բացի անդ:
qstr_{reg3?daughter:man}|{reg3?կին:այր}
qstr_Though_the_distincti|Թէպէտ ժամանակն սահէր փութանակի, բայց դուք դարձայք չափահաս: Յորժամ ընկալայք զկոչումն զինակրի, դուք արդէն հմուտ էիք ի զէնս: Դուք ուսայք զպարտս ձեր առ տէր ձեր եւ զիդէալս ասպետութեան:
qstr_{reg3?woman:man}|{reg3?կին:այր}
qstr_Though_the_distinctio|Թէպէտ ժամանակն սահէր փութանակի, բայց դուք դարձայք չափահաս: Դուք մտաք ի խումբ տիկնանց արքունի, ուր ուսայք զնենգութիւնս եւ զխաղս քաղաքականութեան:
qstr_Though_the_distinction|Թէպէտ ժամանակն սահէր փութանակի, բայց դուք դարձայք չափահաս: Դուք եղէք գուսան շրջիկ, ունելով միայն զձայն ձեր եւ զերաժշտական գործի ձեր:
qstr_Though_the_distinction_|Թէպէտ ժամանակն սահէր փութանակի, բայց դուք դարձայք չափահաս: Դուք եղէք ուսանող համալսարանի ի մեծ քաղաքի ուրումն, ուր ուսայք զաստուածաբանութիւն, զփիլիսոփայութիւն եւ զբժշկութիւն:
qstr_Though_the_distinction_f|Թէպէտ ժամանակն սահէր փութանակի, բայց դուք դարձայք չափահաս: Դուք եղէք շրջիկ վաճառական, գնելով եւ վաճառելով զամենայն ինչ զոր գտանէիք:
qstr_Though_the_distinction_fe|Թէպէտ ժամանակն սահէր փութանակի, բայց դուք դարձայք չափահաս: Որպէս դարբին, դուք սկսայք զգործ ձեր, կոփելով զերկաթ եւ ստեղծելով զօգտակար իրս:
qstr_Though_the_distinction_fel|Թէպէտ ժամանակն սահէր փութանակի, բայց դուք դարձայք չափահաս: Դուք դարձայք որսագող յառանձնական մայրիս տեառն տեղականի, որսալով զեղջերուս եւ զվարազս:
qstr_Only_you_know_exactl|Միայն դուք գիտէք, թէ ընդէ՞ր որոշեցիք դառնալ արկածախնդիր: Դուք կամիք վրէժխնդիր լինել վասն անիրաւութեանց եղելոց ձեզ:
qstr_Only_you_know_exactly|Միայն դուք գիտէք, թէ ընդէ՞ր որոշեցիք դառնալ արկածախնդիր: Յիշատակք սիրելւոյ ուրումն են այնպէս դառն, զի դուք ոչ կարէիք մնալ ի տան ձերում:
qstr_Only_you_know_exactly_|Միայն դուք գիտէք, թէ ընդէ՞ր որոշեցիք դառնալ արկածախնդիր: Դուք ձանձրացեալ էիք ի կենցաղոյ ձերմէ եւ կամէիք տեսանել զհեռաւոր աշխարհս:
qstr_Only_you_know_exactly_w|Միայն դուք գիտէք, թէ ընդէ՞ր որոշեցիք դառնալ արկածախնդիր: Տուն ձեր կործանեցաւ եւ դուք մնացայք միայնակ ի մեծ աշխարհի աստ:
qstr_Only_you_know_exactly_wh|Միայն դուք գիտէք, թէ ընդէ՞ր որոշեցիք դառնալ արկածախնդիր: Դուք կամիք լինել հարուստ, զաւրաւոր եւ երկիւղալի ի բազում մարդկանէ:
qstr_Back_to_the_beginnin|Վերադարձ ի սկիզբն...
qstr_View_next_segment...|Տեսանել զյաջորդ մասն...
qstr_^No_food:___{reg7}|^Ոչ գոյ պաշար:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Պարտք ռոճկաց:  -{reg6}
qstr_On_loan|Ի փոխ
qstr_Appoint_next_marshal|Կարգել զյաջորդ սպարապետն
qstr_Award_{s12}_as_fief|Տալ զ{s12} որպէս կալուած
qstr_No_one|Ոչ ոք
qstr_Selected_faction_is:|Ընտրեալ կողմն: {s10}^^{s9}
qstr_You_are_currently_re|Այժմ ընթեռնուք զգիրքս զայս: {s8}:
qstr_You_are_not_reading_|Առժամայն ոչ ընթեռնուք զինչ գիրք:
qstr_none|Չիք
qstr_{s5}_and_{s6}|{s5} եւ {s6}
qstr_Your_estates_are:_{s|Կալուածք ձեր են: {s8}:^{s9}
qstr_Current_party_size_l|Սահման զաւրախմբի: {reg5}:^Բաղադրիչք:^^Հիմնական չափ: +10^Առաջնորդութիւն: {s2}{reg1}^Շնորհք: {s3}{reg2}^Հռչակ: {s4}{reg3}^ԳՈՒՄԱՐ: {reg5}
qstr_Loyal|Հաւատարիմ
qstr_Devoted|Անձնուէր
qstr_Fond|Սիրող
qstr_Gracious|Շնորհալի
qstr_Friendly|Բարեկամական
qstr_Supportive|Զաւրակից
qstr_Favorable|Նպաստաւոր
qstr_Cooperative|Գործակից
qstr_Accepting|Ընդունող
qstr_Indifferent|Անտարբեր
qstr_Suspicious|Կասկածամիտ
qstr_Grumbling|Տրտնջող
qstr_Hostile|Թշնամական
qstr_Resentful|Ոխերիմ
qstr_Angry|Բարկացեալ
qstr_Hateful|Ատելութեամբ լի
qstr_Revengeful|Վրէժխնդիր
qstr_Vengeful|Ոխակալ
qstr_Your_relation_with_t|Յարաբերութիւն ձեր ընդ թագաւորութիւնս:^{s2}
qstr_Player_renown_is_inc|Հռչակ խաղացողի յաւելաւ 100-ով:
qstr_Player_honor_is_incr|Պատիւ խաղացողի յաւելաւ 1-ով եւ եղեւ {reg7}:
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} ընդունի զառաջարկն:
qstr_No_one_accepts_the_o|Ոչ ոք ընդունի զառաջարկն:
qstr_You_start_reading_{s|Դուք սկսայք ընթեռնուլ զգիրքն {s2}: Յետ սակաւ էջից, դուք զգայք զի բազում ինչ ունիք ուսանել ի գրոց աստի: Դուք որոշեցիք պահել զայն մերձ առ ձեզ եւ ընթեռնուլ յամենայն դէպս պատեհս:
qstr_You_flip_through_the|Դուք թերթէք զէջս գրոց {s2}, բայց հետեւելն է դժուարին: Թէպէտ ջանացայք, բայց գլուխ ձեր սկսաւ ցաւել եւ պարտ եղեւ ձեզ թողուլ զայն:
qstr_Villagers|Գեղջկացիք
qstr_You_have_encountered|Դուք հանդիպեցայք:^{s1}
qstr_You_have_engaged_{s1|Յորժամ {s3} աւարի ի {s1}-է, դուք մտաք ի մարտ ընդ նոսա:
qstr_You_were_caught_by_{|Դուք ըմբռնեցայք ի {s1}-է, մինչ մարտիկք ձեր աւարէին զ{s3}:
qstr_You_were_victorious!|Դուք յաղթեցիք!
qstr_Battle_was_lost._You|Մարտն պարտեցաւ: Զաւրութիւնք ձեր ջախջախեցան:
qstr_Your_companions_carr|Ընկերք ձեր հեռացուցին զձեզ ի մարտադաշտէն:
qstr_You_have_defeated_th|Դուք յաղթեցիք թշնամւոյն:
qstr_You_have_retreated_f|Դուք նահանջեցիք ի մարտէն:
qstr_^^Ally_Casualties:{s|^^Կորուստք դաշնակցաց: {s0}
qstr_{s1}_of_{s3}_managed|{s1} ի {s3}-է յաջողեցաւ փախչել:
qstr_Some_of_your_tendons|Ջիլք ձեր վնասեցան ի մարտի: Կորուսիք 1 Զաւրութիւն:
qstr_You_took_a_nasty_wou|Դուք ընկալայք զծանր վէրք, որ արար զձեզ կաղ նոյնիսկ յետ առողջանալոյն: Կորուսիք 1 Ճարպիկութիւն:
qstr_You_have_trouble_thi|Դժուարանայք խորհել յետ մարտին, թերեւս ի հարուածոյ ուրումն ծանրի ի գլուխ ձեր: Իմացութիւն ձեր նուազեցաւ 1-ով:
qstr_Perhaps_I_m_getting_|Թերեւս բախտ իմ նուազի...
qstr_Retirement_is_starti|Հանգիստ արդէն լաւ թուի ինձ:
qstr_No_matter!_I_will_pe|Փոյթ չէ! Ես յամառեցից!
qstr_What_did_I_do_to_des|Զի՞նչ արարի ես, զի արժանի եղէ այսմ:
qstr_I_suppose_it_ll_make|Կարծեմ զի բարի պատմութիւն լինելոց է այս:
qstr_{s9}_wants_you_to_fo|{s9} կամի զի հետեւիցիք բանակի նորա մինչեւ ցյաջորդ հրաման:
qstr_{s8}_of_{s9}|{s8} ի {s9}-է
qstr__Your_own_banner_fli| Դրոշ ձեր ծածանի ի մուտս ամրոցին:
qstr__You_see_the_banner_| Դուք տեսանէք զդրոշ {s7}-ի ծածանեալ ի վերայ դրան ամրոցին:
qstr__Your_own_banner_flie| Դրոշ ձեր ծածանի ի մուտս քաղաքին:
qstr__You_see_the_banner_o| Դուք տեսանէք զդրոշ {s7}-ի ծածանեալ ի վերայ դրան քաղաքին:
qstr_The_{reg6?town_s:cas|Պաշար կերակրոյ {reg6?քաղաքին:ամրոցին} բաւական է վասն {reg3} աւուրց:
qstr_The_{reg6?town_s:cast|Պաշար կերակրոյ {reg6?քաղաքին:ամրոցին} սպառեցաւ եւ պահապաններն քաղցնուն:
qstr_You_re_preparing_to_|Դուք պատրաստիք յարձակել ի պարիսպսն, գործն աւարտեսցի յետ {reg9} ժամուց:
qstr_Your_forces_are_buil|Մարտիկք ձեր կառուցանեն զպաշարողական աշտարակ (աւարտեսցի յետ {reg9} ժամուց):
qstr_You_are_ready_to_att|Դուք պատրաստ էք յարձակել ի պարիսպսն:
qstr_The_siege_tower_is_b|Կառուցումն պաշարողական աշտարակին աւարտեցաւ, պատրաստ է ի կիրառութիւն:
qstr_As_a_last_defensive_|Որպէս յետին հնար պաշտպանութեան, դուք նահանջեցայք ի մեծ դահլիճ ամրոցին: Ընդ մնացեալ մարտիկս ձեր դուք մտաք ի յուսահատ մարտ: Եթէ պարտեսցիք, ոչ մնասցէ տեղի նահանջելոյ:
qstr_You_ve_been_driven_a|Դուք վտարեցայք ի պարիսպացն: Յարձակողքն սկսան հոսել ի փողոցս: Եթէ յաղթեսցիք նոցա, թերեւս կարասջիք փրկել զաւրն:
qstr_You_ve_breached_the_|Դուք մտաք ի քաղաքն ընդ բացուածս պարսպացն: Բայց յամառ պաշտպանքն շարունակեն զդիմադրութիւն ի փողոցս! Պարտ է ձեզ յաղթել նոցա յառաջ քան զյարձակելն յամրոցն որ ի սիրտ քաղաքին:
qstr_The_town_centre_is_y|Միջնավայր քաղաքին ձեր է, բայց մնացեալ յարձակողքն նահանջեցին յամրոցն: Վասն լիակատար յաղթութեան պարտ է ամրոցին անկանել:
qstr_The_remaining_defend|Մնացեալ պաշտպանքն նահանջեցին յամրոցն վասն յետին դիմադրութեան: Պարտ է ձեզ մտանել եւ ջախջախել զնոսա:
qstr_However_since_you_ar|Սակայն, քանզի դուք ոչ էք ուխտեալ {reg3?տիկին:տէր} {s9}-ի, նա ոչ կարէ ճանաչել զձեզ որպէս տէր այսմ {reg8?քաղաքի:ամրոցի}:
qstr_The_enemy_has_been_f|Թշնամին ստիպեցաւ նահանջել: Յարձակումն աւարտեցաւ, բայց պաշարումն շարունակի:
qstr_As_you_approach_you_|Յորժամ մերձենայք, պահապանք ամրոցին տեսանեն զձեզ եւ ողջունեն յանուն {reg3?թագուհւոյ:թագաւորի} իւրեանց, եւ բանան զդրունսն:
qstr_As_you_approach_you_a|Յորժամ մերձենայք, պահապանք ամրոցին տեսանեն զձեզ եւ ողջունեն յանուն {reg3?տիկնոջ:տեառն} իւրեանց, եւ բանան զդրունսն:
qstr__This_village_and_th| Այս գեւղ եւ շրջակայք նորա ձեր են:
