dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Այժմ յարձակեցայց ի վերայ քո ի զանազան ուղղութեանց եւ սպասեցից, մինչեւ դիցես զհամապատասխան պաշտպանութիւնն: Ջանա՛ դնել զհարկաւոր պաշտպանութիւնն որչափ կարելի է արագ: ^^(Զայս հրահանգ դիւրին է կատարել «ինքնաշխատ ուղղութիւն պաշտպանութեան» կարգաւորմամբ, որ միացեալ է ի լռելեայն: Եթէ ի ցանկս կարգաւորմանց փոխեսցի հսկողութիւնն ուղղութեան պաշտպանութեան ի «Ըստ շարժման մկնիկին» կամ «Ի ստեղնաշարէն», ապա ստիպեալ լիցի ընտրել զուղղութիւն պաշտպանութեան ինքնուրոյն: Այս դժուարագոյն է, այլ հետաքրքրականագոյն: Յայնժամ հրահանգս այս մարթի լինել կարի աւգտակար:)
dlga_fighter_talk_train_parry_3:close_window|Սկսցո՛ւք զկրթութիւնն:
dlga_fighter_talk_train_parry_3:fighter_pretalk|Արդարեւ, կամիմ ես ընտրել այլ ինչ:
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Կրթական մարտն՝ հիանալի միջոց է պատրաստուելոյ առ ճշմարիտ ճակատամարտին: Մարտնչիցիմք մեք՝ ջանալով ոչ սպանանել զմիմեանս, մինչեւ մի ի մէնջ անկցի ի գետին: Անշուշտ, այսպէս մարթ է ստանալ կապտուկս, այլ այս լաւագոյն է քան կորնչիլ ի սրոյ յանդրանիկ մարտին: Լաւագոյն է յորժամ քրտինքն ողողէ զաչս, եւ ոչ արիւնն...
dlga_fighter_talk_train_combat_2:close_window|Սկսցո՛ւք զկրթութիւնն:
dlga_fighter_talk_train_combat_2:fighter_pretalk|Արդարեւ, կամիմ ես ընտրել այլ ինչ:
dlga_start:fighter_parry_try_again|Բարի: Յաջողի քեզ վանել զյարձակումն իմ: Թերեւս կամիցիս կրկնել զհրահանգն, բայց առնել զամենայն արագագոյնս: Կրկնե՞լ:
dlga_start:fighter_parry_try_again.1|Արդ զի՞նչ, ո՞չ այնքան յաջողի քեզ: (Յիշեա՛ - առ ի դնել զպաշտպանութիւնն պարտ է սեղմել եւ պահել զաջ կոճակ մկնիկին:) Կրկնե՞լ:
dlga_fighter_parry_try_again:fighter_talk_train_parry|Այո՛, փորձեսցուք միւսանգամ:
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Ո՛չ: Թուի ինձ, այժմ շատ է: Տաղտկացայ...
dlga_start:fighter_parry_warn|Է՜յ, բարեկամ: Մեք պարապիմք ի պաշտպանութեան: Պարտ է քեզ խափանել զյարձակմունս իմ, եւ ոչ յարձակիլ ի վերայ իմ:
dlga_fighter_parry_warn:fighter_talk_train_parry|Ներեա՛ ինձ: Սկսցուք վերստին:
dlga_fighter_parry_warn:fighter_talk_leave_parry|Ներեա՛ ինձ: Պարտիմ ընդհատել զդասն:
dlga_fighter_talk_leave_parry:close_window|Բարի, որպէս ասես:
dlga_start:fighter_combat_try_again|Արդ զի՞նչ, ո՞չ այնքան յաջողի քեզ: Մի՛ հոգար եւ ջանա՛ ոչ թոյլ տալ այնպիսի սխալմունս յապագային: Կամի՞ս կրկնել:
dlga_fighter_combat_try_again:fighter_talk_train_combat|Այո՛, փորձեսցուք միւսանգամ:
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Ո՛չ: Թուի ինձ, այժմ շատ է:
dlga_fighter_talk_leave_combat:close_window|Արդ բարի: Ասասցե՛ս յորժամ միտս փոխեսցես:
dlga_start:fighter_combat_try_again.1|Բարի՛ էր կրթութիւնս: Յաջողեցաւ քեզ յաղթել զիս, բայց միւսանգամ զգուշագոյն եղէց: Կամի՞ս կրկնել:
dlga_start:fighter_talk.2|Գերազա՛նց: Այժմ կարես դու հարկանել յամենայն կողմանց: Եթէ կամիս, մարթ է միւսանգամ եւս վարժիլ ի նոյն, կամ զբաղեսցուք այլով իմիք:
dlga_start:archer_challenge_2|Ոչ է վատ: Բնաւի՛ն ոչ է վատ: Թուի թէ յաջողեցաւ քեզ իւրացուցանել զհիմունս նետաձգութեան: Իսկ այժմ փորձեա՛ կրկնել զնոյնն փայտաղեղամբ: Ա՛ռ զփայտաղեղն զայն հանդերձ նետիւք եւ խոցեա՛ զերիս թիրախս զայսոսիկ: Ի համեմատութիւն աղեղանն՝ դիւրին է արձակել ի փայտաղեղանէն, այլ յետ իւրաքանչիւր արձակման պարտ է վերստին լիցքաւորել զայն:
dlga_start:archer_challenge_2.1|Բարի: Ի փայտաղեղանէ եւս գիտես դու արձակել: Այժմ պարտ է ուսանել վարիլ ընդ նետողական զինուց: Ա՛ռ զտէգսդ զայնոսիկ եւ ջանա՛ հարկանել յերիս թիրախս յայսոսիկ:
dlga_start:ranged_end|Արդ, տիրապետես դու հիմանց գործածութեան երից տեսակաց հեռահար զինուց: Մնացեալն եկեսցէ վարժութեամբ: Կրթեա՛ զքեզ զամենայն աւուրս, եւ տեղին ընդ լաւագոյն նետաձիգս ի հիւսիսային երկրի ապահովեալ է քեզ: Հաճելի է սպանանել ի հեռաստանէ: Ոչ աղտեղես զհանդերձս քո արեամբ...
dlga_ranged_end:close_window|Իսկ այժմ մարթիս խօսիլ ընդ վարժապետս մերձամարտի կամ հեծելութեան, եթէ տակաւին ոչ է յաջողեալ քեզ առնել զայդ: Նոքա եւս կարեն ուսուցանել բազում ինչ:
dlga_start:archer_talk|Բարի՛ աւր, անճարակ: Ուսուցանեմ ես զարուեստ հեռահար մարտի ամենայնի, որ եւ կամի ուսանել: Եթէ պիտոյ է քեզ վարժապետ, ասա՛ ինձ, եւ ուսուցից քեզ վարիլ ընդ աղեղանն, փայտաղեղանն եւ տէգին:
dlga_archer_talk:archer_challenge|Այո՛, ցո՛յց ինձ, թէ որպէս պարտ է վարիլ ընդ հեռահար զինու:
dlga_archer_talk:close_window|Ո՛չ, ոչ այժմ:
dlga_archer_challenge:archer_challenge_2|Գերազա՛նց: Նախ տաց քեզ դաս նետաձգութեան: Աղեղն՝ բարդ զէն է, բայց տիրապետելով նմա, կարասցես արձակել նետս արագ եւ դիպուկ: Ա՛ռ զաղեղն զայն հանդերձ նետիւք եւ խոցեա՛ զթիրախս զայսոսիկ:
dlga_archer_challenge_2:close_window|Բարի, արարից:
dlga_archer_challenge_2:close_window.1|Սպասեա՛ վայրկեան մի: Պարտիմ նախ առնել այլ ինչ:
dlga_start:horseman_melee_challenge_2|Յուսամ, հաճոյ թուեցաւ քեզ արշաւն: Իսկ այժմ անցցուք առ յանձնարարութիւն դժուարագոյն: Ա՛ռ զտէգդ զայն եւ արշաւեա՛, խոցելով ի ճանապարհիդ զիւրաքանչիւր թիրախ գոնէ միանգամ:
dlga_start:horseman_melee_challenge_2.1|Ոչ է վատ: Յաջողեցաւ քեզ խոցել զամենայն թիրախսն հեծեալ, եւ այս ոչ է դիւրին գործ վասն սկսնակաց: Այժմ պարտ է քեզ խոցել զթիրախսն ի երկայնս ճանապարհին, արձակելով ի նետէ: Եթէ խոցեսցես զամենայն թիրախսն, մարթիս համարել, թէ յանձնարարութիւնն կատարեցաւ յաջողութեամբ:
dlga_start:horsemanship_end|Հիանալի՛ է: Յաջողեցաւ քեզ խոցել զամենայն թիրախսն հեծեալ: Շարունակեա՛ վարժիլ զամենայն աւուրս, եւ ընդհուպ հասցես բարձանց վարպետութեան: Եւ սպանանիցես զմարդիկ այնպէս դիւրաւ, որպէս զճանճս:
dlga_horsemanship_end:close_window|Մարթիս խօսիլ ընդ վարժապետս մերձամարտի կամ ընդ վարժապետն նետաձգութեան, եթէ տակաւին ոչ է յաջողեալ քեզ առնել զայդ: Յառաջ քան զճշմարիտ ճակատամարտն պարտիս ուսանել զամենայն:
dlga_start:horseman_talk|Բարի՛ աւր: Եկի ես այսր վարժել ի հեծելութեան, բայց ծերացեալ ոսկերք իմ ցաւին կարի, ուստի, թերեւս, հանգեայց ես այսաւր: Եթէ կամիս վարժիլ, ա՛ռ զերիվար իմ: Վասն նորա այս ոչ վատ զբաւսանք եղիցի:
dlga_horseman_talk:horseman_challenge|Այո՛, կամէի վարժիլ ի հեծելութեան:
dlga_horseman_talk:close_window|Հը՛մ: Թերեւս յետոյ:
dlga_horseman_challenge:horseman_melee_challenge_2|Բարի: Այժմ ցուցից քեզ քանի մի հրահանգս, որք ուսուսցեն քեզ գործածել զզէնսն ի թամբի անդ: Առաջին յանձնարարութիւնն կարի պարզ է. արշաւեա՛ շուրջանակի կամայական արագութեամբ: Յորժամ ընտելացար ի թամբին, դարձի՛ր, եւ ես ասացից, թէ զի՞նչ պարտ է առնել յապագային:
dlga_horseman_melee_challenge_2:close_window|Բարի, արարից:
dlga_horseman_melee_challenge_2:close_window.1|Սպասեա՛ վայրկեան մի: Պարտիմ նախ առնել այլ ինչ:
dlga_tutorial_troop_default:close_window|Է՜յ, ես աստ գործով պարապիմ: Եթէ պիտոյ են քեզ խորհուրդք վասն հեռահար զինու, ե՛րթ խօսեա՛ ընդ վարժապետին նետաձգութեան:
dlga_start:lord_prison_break_confirm_3|Փոխեցա՞ն ծրագիրքն:
dlga_start:lord_prison_break|Զի՞նչ դէպք գործին:
dlga_start:drunk_response|Ընդէ՞ր պշուցեալ ես զաչս քո ի վերայ իմ:
dlga_start:drunk_response.1|Ի՞նձ հայիս դու:
dlga_player_duel_response:close_window|Այսչափ արիւն...
dlga_player_duel_response:close_window.1|Միթէ ին՞ձ էր պարտ սատակիլ, եւ ոչ կեղտոտ աղբոյս այսմիկ: Լոկ շաղախեցի զսուրն իմ ընդ աղբս զայս:
dlga_drunk_response:drunk_fight_start|Երանի թէ գիտէի... Թուի թէ ի պիղծ անասուն ինչ:
dlga_drunk_response:drunk_fight_start.1|Ներեա՛ վեհանձնօրէն: Բերեմ զիմ ներողութիւնս:
dlga_drunk_fight_start:close_window|Ջնջեցից զխորամանկ ժպիտդ ի յանդուգն երեսաց քոց:
dlga_drunk_response:drunk_player_high_renown|Գիտե՞ս արդեաւք թէ ո՞վ եմ ես: Իսկ թէ ո՞վ ես դու, յայտնի է՝ դիակ:
dlga_drunk_player_high_renown:drunk_fight_start|Եւ զի՞նչ, պարտիմ արդեաւք:
dlga_drunk_player_high_renown:drunk_player_high_renown|Է՜մմմ... Արդարեւ... Այո՛, ճանաչեմ զքեզ, {reg59?տիկին:տէր} իմ: Աղաչեմ, ընկա՛լ զներողութիւնս իմ - արբեցութիւնն է մեղաւորն յայսմ ամենայնի: Մեկնիմ ես...
dlga_drunk_player_high_renown:drunk_fight_start.1|Եթէ կռիւ կամիս, ընկալցի՛ս զայն:
dlga_drunk_player_high_renown:close_window|Եւ ինձ այդպէս թուեցաւ: Կորի՛ր աստի անյապաղ: Ե՛րթ սատակի՛ր ի ներքոյ ցանկապատի, ուր եւ վայրն քո է:
dlga_start:fistfight_response|Թուի թէ ի հարկին, կարասցես դու խլել զսիրտ յումեքէ եւ իցէ: Եւ եթէ այդպէս է, ունիմ առ քեզ խօսք մի:
dlga_fistfight_response:fistfight_response_2|Որպիսի՞ ինչ:
dlga_fistfight_response_2:fistfight_response_2a|Բարի՛, կարի բարի, որ հետաքրքրէ զքեզ: Բանն այսպէս է... Փոքր մի խճճեալ է, ուստի լո՛ւր ուշադրութեամբ:
dlga_fistfight_response_2a:fistfight_response_3|Առաջարկեմ քեզ մենամարտիլ՝ դէմ յանդիման, դու ընդդէմ ախոյեանին: Կռիւ կռփամարտի եւ առանց զրահի, անտարակոյս: Ես ընկալայց զգրաւս ի վերայ քո, եւ կիսեցից զշահն ընդ յաղթողին: Եթէ պարտեսցուք, ես առից զվնասն յանձն: Ինքնին տեսանէք՝ դուք ոչինչ կորուսանէք բաց ի քաջառողջութենէ:
dlga_fistfight_response_3:fistfight_response_4|Բայց առնել զամենայն զգաստ եւ ազնուութեամբ, որպէս ի կազմակերպեալ ասպարէզս, ոչ յաջողեսցի: Մարդիկ ոչ դիցեն զգրաւս կանխաւ, այլ կուտակեսցին ի վերայ աղմկին եւ միայն յայնժամ բաժանեսցին յարծաթոյ իւրեանց: Եւ պիտոյ չեն աւելորդ իմաստութիւնք՝ արբեցեալ ամբոխն ոչ իմասցի զայնս:
dlga_fistfight_response_4:fistfight_response_4a|Որպէս տեսանէք, գլխաւոր շահն յայնմ է, զի մարթ է քաշել արծաթ ի հանդիսատեսաց շարունակ, մինչեւ ի վախճան մարտին: Մանաւանդ բարի է, եթէ թուի թէ պարտի ոք - յայնժամ գրաւ դնեն ընդդէմ նորա: Իսկ ապա յանկարծ, եւ հարկանեն արդէն զմիւս մարտիկն: Լաւագոյն հնարն ստանալոյ զարծաթն՝ այն է զի թոյլ տասցես սաստիկ ծեծել զքեզ, եւ ապա միայն կործանեսցես զախոյեանն: Յայտնի է, թէ որպէս եւ ընթանայ մարտն, ի վախճանի պարտիս յաղթել:
dlga_fistfight_response_4a:fistfight_response_5|Յիշեա՛ եւ զայս, ոչ մարթի երկարաձգել զկռիւն չափազանց: Թերեւս մարդիկն կասկածեսցեն զնենգութիւն: Ուստի մի՛ մոռանայր հարկանել զմիմեանս: Յիշեա՛ - հանդիսատեսացն պիտոյ է արիւն:
dlga_fistfight_response_5:fistfight_response_5a|Այո՛, եւ այս եւս գոյ. ախոյեանն քո ոչ սիրէ զնրբութիւնս, եւ վասն այնորիկ ոչ խորամանկեսցէ, այլ պարզապէս ջանասցէ հարկանել զքեզ: Ուստի գեղեցիկ առնել զմարտն կայ ի քեզ:
dlga_fistfight_response_5a:fistfight_response_confirm|Արդ, զի՞նչ ասես յայսմիկ:
dlga_fistfight_response_confirm:close_window.1|Ունիմ ես զգործս կարեւորագոյնս:
dlga_start:ramun_introduce_1|Բարի՛ աւր, {reg59?գեղեցկուհի:երիտասարդ}:
dlga_ramun_introduce_1:ramun_introduce_2|Աղաչեմ ներել, նմանիս վաճառականի, այլ ոչ տեսանեմ առ քեզ ապրանքս:
dlga_ramun_introduce_1:close_window|Ոչ է կարեւոր:
dlga_ramun_introduce_2:ramun_introduce_3|Վաճառակա՞ն: Ո՜, անշուշտ, անշուշտ զբաղիմ վաճառականութեամբ: Սակայն ապրանք իմ փոքր ինչ տարբերին ի բազմութենէ այլոց: Պարտ է կերակրել զնոսա եւ արբուցանել, թէեւ երբեմն մարթ է եւ անտես առնել զայդ, եթէ ծուլանաս, եւ նաեւ նոքա ջանան փախչիլ, յորժամ դարձուցանես զերեսս քո ի նոցանէ:
dlga_ramun_introduce_3:ramun_introduce_4|Անասո՞ւնք:
dlga_ramun_introduce_4:ramun_introduce_5|Գրեթէ: Ապրանք իմ շարժեն զամենայն նաւս յովկիանոսի: Նաւք գնան թիավարութեամբ, բայց թիքն ինքնին ոչ վարեն...
dlga_ramun_introduce_5:ramun_introduce_6|Ստրո՛ւկք թիավարք...
dlga_ramun_introduce_6:ramun_introduce_7|Արդարեւ՛: Վաճառաշահ նաւահանգիստ այսպիսի պարզապէս կործանէր առանց նոցա: Նաւք կորուսանեն զքանի մի զոյգս ձեռաց յիւրաքանչիւր նաւարկութեան, ուստի ստրուկք միշտ պիտանացու են: Նաւապետք գան առ իս, եւ վճարեն վասն անասնոցս այսոցիկ բարւոք:
dlga_ramun_introduce_7:ramun_introduce_8|Ուստի՞ գան ստրուկքդ այս ամենայն:
dlga_ramun_introduce_8:ramun_introduce_9|Սովորաբար գնեմ ես յիշխանութեանց զդատապարտեալ յանցագործսն: Մնացեալքն՝ գերիք են յամենայն ծագաց աշխարհի: Ածեն զնոսա առ իս, վասն զի ես վճարեմ լաւագոյն քան զամենեսեան: Երբեմն գնեմ զապրանքս յորսորդաց գլխոց եւ յայլոց... մասնաւոր անձանց: Ի գործիս յայսմիկ ոչ պարտի ոք լինել խստապահանջ: Արդեաւք չունի՞ս ընդ քեզ ստրուկս պատահմամբ:
dlga_ramun_introduce_9:ramun_introduce_10|Ե՞ս:
dlga_ramun_introduce_10:ramun_introduce_11|Այո՛ անշուշտ: Եթէ գոնէ երբեմն ելանես դու ի քաղաքէ աստի, վաղ թէ անագան ստիպեալ լինիցիս մարտնչիլ սրով ընդ ումեք: Աստուած տացէ՝ ելցես դու յաղթական: Ընդէ՞ր ոչ աւգտուիլ յայսմանէ: Կա՛լ զախոյեան քո կենդանի եւ ա՛ծ առ իս: Վճարեմ ես 50 ոսկի վասն իւրաքանչիւր գերւոյ, եւ փոյթ չէ ինձ, թէ ոյք են նոքա եւ ուստի՞:
dlga_ramun_introduce_11:ramun_introduce_12|Հը՛մ: Խորհեցայց վասն առաջարկութեան քո:
dlga_ramun_introduce_12:close_window|Բարւոք խորհեա՛: Յայսմ գործի մարթ է վաստակել կոյտս ոսկւոյ, հաստատուն գործ է: Ոչ մնասցես դու ի վնասի: Զի՞նչ աւգուտ սպանանել զթշնամիս եւ թողուլ զնոսա փտիլ ի դաշտի անդ, յորժամ մարթ է ստանալ արծաթ վասն նոցա: Եւ ի թիավարութեանն սատակեսցին նոքա առանց ձերոյ աւգնութեան:
dlga_start:ramun_talk|Ողջո՛յն, {playername}:
dlga_ramun_pre_talk:ramun_talk|Այլ ի՞նչ:
dlga_ramun_talk:ramun_sell_prisoners|Ունիմ ես ինչ որ մարթի հետաքրքրել զքեզ: Տեսցե՞ս զապրանքն:
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Ե՛կ տեսցուք, ո՞վ է առ քեզ անդ...
dlga_ramun_sell_prisoners_2:close_window|Հաճելի է առնուլ տալ ընդ քեզ:
dlga_ramun_talk:ramun_ask_about_capturing|Որպէ՞ս գերել ինձ գերի:
dlga_ramun_talk:ramun_ask_about_capturing.1|Պատմեա՛ ինձ միւսանգամ զգերեվարութենէ:
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Նորեկ ես ի գործիս յայսմիկ, այնպէ՞ս: Ե՛կ բացատրեցից քեզ զամենայն պարզապէս: Կարեւորագոյնն ի գերեվարման անդ ոչ արկանել զհարուածն սրովն, այլ կործանել զախոյեանն ի գետին բութ զինու, որպէս գուրզիւ կամ լախտիւ: Յայնժամ ընկղմեսցի նա ի թմբիր առ ժամանակ մի, եւ ոչ հեղցէ զարիւն իւր մինչեւ ի մահ, իմանա՞ս: Կարծեմ թէ ունիս դու այնպիսի զէն...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Անշուշտ:
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Բանն յայնմ է, զի ո՛չ:
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Գերազանց: Արդ, ամենայն զոր պարտիս առնել՝ հարկանել զանզգամն այնպէս զի անկցի, իսկ յորժամ աւարտեսցի մարտն, արկանել ի շղթայս: Ընդ ազնուականս պարզագոյն է. նոքա սովորաբար բարւոք պաշտպանեալ են, ուստի փոյթ չէ, թէ որով զինու հարկանեսցես: Բայց յորժամ խոցես զհասարակ հրոսակ ինչ սրով, բղխեսցէ արիւն ի նմանէ, որպէս ի զենեալ խոզէ: Ոչ պահանջեմ ես բանս իւրայատուկս, այլ խստիւ պատուիրեմ զի գոնէ շնչեսցեն նոքա, յորժամ գնեմ զնոսա:
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Ո՞չ: Ապա ուրեմն, բախտաւոր ես դու այսաւր: Ունիմ ես հին լախտ մի, զոր կամէի ընկենուլ: Փոքր մի մաշեալ է այն, այլ բաւական է վասն հարկանելոյ զոք մինչեւ անգիտակից լինել նորա: Ահա, կա՛լ:
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Պարտ է փորձել զայն ի գործի:
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Բարի, ե՛կ բացատրեցից քեզ վերստին զամենայն պարզապէս: Կարեւորագոյնն ի գերեվարման անդ ոչ արկանել զհարուածն սրովն, այլ կործանել զախոյեանն ի գետին բութ զինու, որպէս գուրզիւ կամ լախտիւ: Յայնժամ ընկղմեսցի նա ի թմբիր առ ժամանակ մի, եւ ոչ հեղցէ զարիւն իւր մինչեւ ի մահ, իմանա՞ս: Ընդ ազնուականս պարզագոյն է. նոքա սովորաբար բարւոք պաշտպանեալ են, ուստի փոյթ չէ, թէ որով զինու հարկանեսցես: Բայց յորժամ խոցես զհասարակ հրոսակ ինչ սրով, բղխեսցէ արիւն ի նմանէ, որպէս ի զենեալ խոզէ:
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Թուի թէ զամենայն իմացայ: Զի՞նչ եւս պարտ է ինձ գիտել:
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Արդարեւ, ոչ է ամենայն այնքան պարզ: Բութ զէն ոչ հասուցանէ այնպիսի սաստիկ վնասս որպէս սուր, ուստի կործանել զթշնամին դժուարագոյն եղիցի: Եւ հաւատա՛ ինձ, տո՛ւր անզգամացդ այնոցիկ միայն հնարաւորութիւն մի, եւ նոքա սպանանիցեն զքեզ առանց երկմտութեան: Ուստի, ելանելով ընդդէմ ախոյեանին լախտիւն, մի՛ խնայեր զնա: Պարտիմ ասել, թէ գերիքն դանդաղեցուցանեն զընթացս զաւրագնդին, վասն որոյ ոմանք պարզապէս ազատեն զնոսա ի վախճան մարտին: Անմտութիւն: Զիա՞րդ մարթ է պարզապէս հրաժարիլ ի կոյտ ոսկւոյ:
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Այդ ա՞յսչափ:
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Ո՛չ, եւ այլ ինչ կայ: Վարիլ ընդ գերիս ոչ է դիւրին, աստ ճշմարիտ հմտութիւն է պիտոյ: Եթէ կամիս գերեվարել բազում գերիս, ստիպեալ լինիցիս աշխատիլ եւ ինքնուրոյն տիրապետել հարկաւոր արուեստիցն, ապա թէ ոչ զմի ոք իսկ ոչ կարասցես պահել:
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Գոհանամ, ի մտի ունեցայց:
dlga_ramun_talk:ramun_leave|Ես, թերեւս, երթայց:
dlga_ramun_leave:close_window|Յիշեա՛, զամենայն գերիս քո ա՛ծ առ իս: Վասն իւրաքանչիւրոյ վճարեցից քեզ զբարի արծաթ:
dlga_start:close_window.3|Ո՜հ, դու ես {playername}: Տոնկրիկ ասաց ինձ թէ գալոց ես վաղվաղակի: Աղաչեմ մտանել ի նաւն, հրաշքս այս տարցի զքեզ ուր եւ կամիս:
dlga_start:manhunter_talk_b|Մեք աստ վասն զրուցելոյ չեմք, {reg59?աղջիկ:բարեկամ}: Ժամանակ է սրոց:
dlga_manhunter_talk_b:manhunter_talk_b1|Նոքա անցին ընդ այն կողմն իբրեւ ժամ մի յառաջ:
dlga_manhunter_talk_b1:close_window|Սքանչելի՛ է: Այժմ գերեսցուք զվիժուածքս զայսոսիկ: Շնորհակալ եմ քեզ:
dlga_manhunter_talk_b:manhunter_talk_b2|Ո՛չ, ուստի՞ լինէին նոքա աստ:
dlga_manhunter_talk_b2:close_window|Անէ՜ծք: Թագեան որպէս զառնետս ի որջս իւրեանց: Այլ ոչինչ, վաղ թէ անագան հանցուք զնոսա ծխով աստի:
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Ոչ երկնչիմ ես ի քէն: Ճակատեա՛ց ընդ իս, եթէ ունիս քաջութիւն:
dlga_looters_2:close_window.1|Ի վերայ քո, արարա՛ծ, պողովատ իմ ոչ խնայէ:
dlga_start:village_farmer_talk|{reg59?Տիկին:Տէր} իմ, մեք պարզապէս աղքատ շինականք եմք ի գեղջէն {s11}: {reg1?Զապրանքս մեր տանիմք ի վաճառանոցն ի {s12}:Ի {s12} աւր վաճառի է - եւ արդ դառնամք անտի ի գեւղ մեր:}
dlga_village_farmer_talk:farmer_bandit_information|Հետապնդեմ զհրոսակախումբ աւազակաց: Նշանք նոցա այսպիսի են... Արդեաւք տեսէ՞ք զնոսա:
dlga_farmer_bandit_information:village_farmer_talk|{s15}
