ui_music_volume|Երաժշտութիւն:
ui_defenders|Պաշտպանք
ui_prisoners|Գերիք
ui_1_hour|1 ժամ
ui_n_hours|%d ժամք
ui_between_hours|Ի մէջ ժամաց %d եւ %d
ui_combatants|Մարտիկք
ui_party_size|Մեծութիւն զօրախմբի
ui_party_size_between|Մեծութիւն զօրախմբի: %d - %d
ui_merchant|Վաճառական
ui_return|Դարձ
ui_no_cost|Առանց գնոյ
ui_rename|Անուանափոխել
ui_use|Գործածել
ui_destroy|Կործանել
ui_destructible_target|Կործանելի թիրախ
ui_tutorial_inventory|Ուսուցումն գոյքի
ui_head_armor|Զրահ գլխոյ
ui_body_armor|Զրահ մարմնոյ
ui_leg_armor|Զրահ սրնգից
ui_encumbrance|Ծանրութիւն:
ui_you_dont_have_value|Ոչ ունիս արծաթ բաւական (%s):
ui_merchant_cant_afford_value|Վաճառական. ոչ բաւէ արծաթդ վասն %s:
ui_merchant_pay_whatever|Վաճառական. վճարեա զինչ եւ է:
ui_merchant_think_of_something_else|Վաճառական. խորհիր զայլ իմն:
ui_dumping_value_items|Թափել զիրս: %s
ui_dumping_value_item|Թափել զիրս: %s
ui_question_slaughter_food_and_eat|Հարց: Մորթել զ%s եւ ուտել:
ui_money_value|Արծաթ: %s
ui_dump|Թափել
ui_outfit|Հանդերձք
ui_arms|Զէնք
ui_horse|Ձի
ui_food|Կերակուր
ui_reclaim_your_sold_goods|Պահանջեա զվաճառեալ ապրանս քո:
ui_return_your_bought_goods|Յետ դարձուցէ՛ք զձեր գնեալ ապրանսն նախքան վաճառելն զայս!
ui_polearm_no_shield|Նիզակ (առանց վահանի)
ui_polearm|Նիզակ
ui_two_handed|Երկձեռնի
ui_two_handed_one_handed|Երկձեռնի/Միաձեռնի
ui_one_handed|Միաձեռնի
ui_return_price|Գին վերադարձի: %d
ui_sell_price|Գին վաճառման: %d
ui_reclaim_price|Գին յետ գնման: %d
ui_buying_price|Գին գնման: %d
ui_default_item|Սովորական իր
ui_buying_price_free|Գին: Ձրի
ui_weight|Ծանրութիւն: %2.1f
ui_plus_value_to_head_armor|+%d ի զրահ գլխոյ
ui_plus_value_to_body_armor|+%d ի զրահ մարմնոյ
ui_plus_value_to_leg_armor|+%d ի զրահ սրունից
ui_swing|Հարուած շրջանաձեւ: %d%s
ui_damage|Վնաս: %d%s
ui_thrust|Խոցում: %d%s
ui_accuracy|Դիպուկութիւն: %d
ui_speed_rating|Արագութիւն: %d
ui_value_to_damage|Վնաս առ %c%d
ui_value_to_morale|+%1.1f ի բարոյականութիւն գնդի
ui_resistance|Դիմադրութիւն: %d
ui_size|Չափ: %d
ui_weapon_reach|Հասողութիւն զինու: %d
ui_armor|Զրահ: %d
ui_speed|Արագութիւն: %d
ui_maneuver|Շարժունակութիւն: %d
ui_charge|Յարձակում: %d
ui_hit_points|Առողջութիւն: %d/%d
ui_requires_value_difficulty|Պահանջէ զ%s: %d
ui_bonus_against_shields|Յաւելում ընդդէմ վահանաց
ui_cant_be_used_to_block|Ոչ կարէ գործածիլ վասն պաշտպանութեան (բլոկի)
ui_troop_cant_use_item|%s: ԵՍ ՈՉ ԿԱՐԵՄ ԳՈՐԾԱԾԵԼ ԶԱՅՍ!!!!!
ui_notification_riding_skill_not_enough|Չունիք բաւական հեծելութիւն վասն հեծնուլոյ զայս ձի:
ui_notification_requirements_not_met|Չունիք բաւական հմտութիւն վասն գործածելոյ զայս զէն:
ui_notification_payment_value|%s վճարեսցի:
ui_notification_payment_receive_value|%s ընկալցի:
ui_one_handed_weapons|Միաձեռնի զէնք
ui_two_handed_weapons|Երկձեռնի զէնք
ui_polearms|Նիզակաւոր զէնք
ui_archery|Աղեղնաձգութիւն
ui_crossbows|Աղեղնադրութիւն (արբալետք)
ui_throwing|Նետողական զէնք
ui_firearms|Հրազէնք
ui_reset|Դառնալ յառաջինն
ui_release_one|Թողուլ զմի
ui_move_up|Վեր
ui_move_down|Վար
ui_upgrade_one|Բարձրացնել զմի
ui_party_skills|Կարողութիւնք գնդի:
ui_morale|Բարոյականութիւն: %s
ui_terrible|Յոյժ վատ
ui_very_low|Ցածր
ui_low|Ցածր
ui_below_average|Նուազ քան զմիջինն
ui_average|Միջին
ui_above_average|Առաւել քան զմիջինն
ui_high|Բարձր
ui_very_high|Յոյժ բարձր
ui_excellent|Սքանչելի
ui_starving|Սովամահ լինի! %d%%
ui_weekly_cost_value|Շաբաթական վճարք: %s
ui_company|Գունդ: %d / %d
ui_prisoners_equal_value|Գերք: %d / %d
ui_choose_prisoners|Ընտրել զգերիսն
ui_choose_companions|Ընտրել զայրսն
ui_rescued_prisoners|Ազատեալ գերք
ui_captured_enemies|Ըմբռնեալ թշնամիք
ui_disband|Արձակել
ui_take_prisoner|Գերեվարել
ui_take_back|Յետ առնուլ
ui_give|Տալ
ui_take|Առնուլ
ui_sell|Վաճառել
ui_hire|Վարձել
ui_notification_cant_hire|(Ոչ կարէ վարձել: չիք բաւական դրամ)
ui_uncapture|Ազատել
ui_capture|Գերել
ui_party_capcity_reached|(Գունդն լի է)
ui_all|Ամենայն
ui_joining_cost_weekly_wage|Գին մտանելոյ: %d, Շաբաթական վճար: %d
ui_weekly_wage|Շաբաթական վճար: %d դահեկան
ui_price|Գին: %d
ui_number_ready_to_upgrade|%d այրք պատրաստ են բարձրացման:
ui_upgrade_to_value|Բարձրացնել առ %s (%dդ)
ui_notification_no_slot_for_upgrade|Չիք տեղի վասն բարձրացնելոյ զ%s!
ui_shield_broken|Վահանն փշրեցաւ:
ui_shield_cracked|Վահանն ճաքեցաւ:
ui_shield_deformed|Վահանն այլակերպեցաւ:
ui_you_hit_a_friendly_troop|Դու հարեր զբարեկամ զինուոր!
ui_hit_shield_on_back|Հարուած ի վահանն թիկանց!
ui_delivered_couched_lance_damage|Դու հասուցեր հարուած նիզակաւ ի ձիոյ վերայ!
ui_received_couched_lance_damage|Դու ընկալար հարուած նիզակաւ ի ձիոյ վերայ!
ui_speed_bonus_plus|Յաւելում արագութեան: +%d%%
ui_speed_bonus|Յաւելում արագութեան: %d%%
ui_cant_reload_this_weapon_on_horseback|Այս զէն ոչ կարէ լիցքաւորիլ ի ձիոյ վերայ:
ui_no_more_bolts|Աղեղնադրի նետք (բոլտք) հատան...
ui_you_are_not_carrying_any_bolts|Դուք ոչ ունիք աղեղնադրի նետս:
ui_no_more_arrows|Նետք հատան...
ui_you_are_not_carrying_any_arrows|Դուք ոչ ունիք նետս:
ui_head_shot|Հարուած ի գլուխն!
ui_delivered_number_damage|%d վնաս հասուցեալ:
ui_delivered_number_damage_to_horse|Ատին %d վնաս հասուցեալ:
ui_horse_charged_for_number_damage|Ձին հարուածեաց եւ %d վնաս եհաս:
ui_received_number_damage|%d վնաս ընկալեալ:
ui_horse_received_number_damage|Ձին %d վնաս ընկալաւ:
ui_value_killed_teammate|%s սպան զընկեր իւր!
ui_horse_fell_dead|Ձին մեռաւ...
ui_horse_crippled|Ձին հաշմանդամեցաւ...
ui_shot_difficulty|Դժուարութիւն հարուածոյ: %2.1f
ui_you_have_improved_your_proficiency_in_value_to_number|Ձեր հմտութիւնն ի %s բարձրացաւ առ %d աստիճան:
ui_your_proficiency_in_value_has_improved_by_number_to_number|Ձեր հմտութիւնն ի %s յաւելաւ +%d-աւ եւ եղեւ %d:
ui_value_killed_by_value|%s սպանաւ ի %s-է:
ui_value_fell_dead|%s մեռաւ:
ui_value_knocked_unconscious_by_value|%s նուաղեցաւ ի %s-է:
ui_value_fell_unconscious|%s նուաղեցաւ:
ui_troop_routed|%s նահանջեցաւ.
ui_troop_panicked|%s զարհուրեցաւ:
ui_troop_fled|%s փախեաւ ի մարտէն:
ui_you_got_number_experience|Ընկալար %d փորձառութիւն:
ui_you_have_advanced_to_level_number|Բարձրացար առ %d աստիճան:
ui_value_has_advanced_to_level_number|%s բարձրացաւ առ %d աստիճան:
ui_you_got_value|Ընկալար զ%s:
ui_new_quest_taken|Նոր յանձնարարութիւն ընկալեալ: %s.
ui_quest_completed_value|Յանձնարարութիւնն կատարեցաւ: %s.
ui_quest_succeeded_value|Յանձնարարութիւնն յաջողեցաւ: %s.
ui_quest_failed_value|Յանձնարարութիւնն ձախողեցաւ: %s.
ui_quest_concluded_value|Յանձնարարութիւնն աւարտեցաւ: %s.
ui_quest_cancelled_value|Յանձնարարութիւնն չեղարկեցաւ: %s.
ui_lost_value| (%s կորեաւ)
ui_items_lost| (Իրք կորուսեալք:
ui_party_has_nothing_to_eat|Գունդն ոչ ունի ուտեստ ինչ!
ui_days_training_is_complete|Այսօրուայ մարզումն աւարտեցաւ...
ui_total_experience_gained_through_training_number|Ընդհանուր փորձառութիւն ի մարզմանէ: %d
ui_some_soldiers_are_ready_to_upgrade|Ոմանք ի զինուորաց պատրաստ են բարձրացման:
ui_number_of_companions_exceeds_leadership_limit| Թիւ մարդկանց անցանէ զսահմանն առաջնորդութեան:
ui_number_of_prisoners_exceeds_prisoner_management_limit| Թիւ գերեաց անցանէ զսահմանն գերեվարութեան:
ui_party_morale_is_low| Բարոյականութիւն գնդի է ցածր!
ui_and_one_space| եւ
ui_has_deserted_the_party| լքեաց զգունդն:
ui_have_deserted_the_party| լքեցին զգունդն:
ui_weekly_report|Շաբաթական հաշուետուութիւն
ui_shared_number_experience_within_party|%d փորձառութիւն բաշխեցաւ ի մէջ գնդի:
ui_got_item_value|Իրն ընկալեալ: %s.
ui_game_saved_successfully|Խաղն պահպանեցաւ յաջողութեամբ:
ui_autosaving|Ինքնապահպանում...
ui_quick_saving|Արագ պահպանում...
ui_cant_quick_save|Ոչ կարէ պահպանել ի մարտի ժամանակի...
ui_screenshot_taken_to_value|Պատկեր էկրանի պահպանեցաւ ի %s ֆայլ:
ui_screenshot_failed|Ոչ կարեմ առնուլ զպատկեր էկրանի:
ui_value_joined_your_party|%s յարեցաւ առ ձեր գունդ:
ui_value_joined_party_as_prisoner|%s յարեցաւ առ գունդ որպէս գերի:
ui_value_has_joined_party|%s յարեցաւ առ գունդ:
ui_value_has_been_taken_prisoner|%s գերեվարեցաւ:
ui_value_left_the_party|%s լքեաց զգունդն:
ui_number_values_left_the_party|%d %s լքեցին զգունդն:
ui_number_value_left_the_party|%d %s լքեաց զգունդն:
ui_your_relations_with_value_has_improved_from_number_to_number|Ձեր յարաբերութիւնքն ընդ %s բարձրացան ի %d-է առ %d:
ui_your_relations_with_value_has_deteriorated_from_number_to_number|Ձեր յարաբերութիւնքն ընդ %s նուաղեցան ի %d-է առ %d:
ui_you_lost_value|Կորուսեր զ%s:
ui_lost_item_value|Իրն կորեաւ: %s.
ui_got_number_value|Ընկալար %d %s:
ui_lost_number_value|Կորուսեր %d %s:
ui_set_default_keys|Դնել զստեղնս սկզբնականս
ui_undo_changes|Յետս կոչել զփոփոխութիւնս
ui_press_a_key|Սեղմեա զստեղն
ui_return_to_game|Դառնալ ի խաղ
ui_options|Ընտրանիք
ui_save_and_exit|Պահել եւ ելանել
ui_save|Պահպանել
ui_save_as|Պահպանել որպէս
ui_quit_without_saving|Ելք առանց պահպանման
ui_empty_slot|Դատարկ վայր
ui_game_saved|Խաղն պահպանեցաւ...
ui_confirm_overwrite| %s-ն վերագրեսցի: Վստա՞հ էք:
ui_dynamic_lighting|Շարժուն լուսաւորութիւն
ui_character_shadows|Ստուերք կերպարի:
ui_grass_density|Խտութիւն խոտոյ:
ui_environment_shadows|Ստուերք շրջակայից
ui_realistic_shadows_on_plants|Իրական ստուերք ի վերայ բուսոց:
ui_particle_systems|Համակարգք մասնիկաց:
ui_gamma|Գամմա:
ui_character_detail|Մանրամասնութիւնք կերպարի:
ui_character_shadow_detail|Մանրամասնութիւնք ստուերաց կերպարի:
ui_blood_stains|Հետք արեան:
ui_on|Միացեալ
ui_off|Անջատեալ
ui_near_player_only|Միայն մերձ առ խաղացողն
ui_default|Սովորական
ui_3d_grass|Եռաչափ խոտ:
ui_number_of_ragdolls|Թիւ մարմնոց:
ui_number_of_corpses|Թիւ դիակաց:
ui_unlimited|Անսահման
ui_anisotropic_filtering|Անիզոտրոպ զտում:
ui_fast_water_reflection|Արագ անդրադարձ ջրոյ
ui_maximum_framerate|Առաւելագոյն թիւ կադրաց:
ui_show_framerate|Ցուցանել զչափ շրջանակաց
ui_estimated_performance|Կանխատեսեալ արդիւնաւետութիւն: %d%%
ui_change_graphics_settings_explanation|Ոմանք փոփոխութիւնք ազդեսցեն, յորժամ մտջիք ի նոր տեղի:
ui_start_tutorial|Ուսուցում սկզբնական
ui_start_a_new_game|Սկսանել նոր խաղ
ui_restore_a_saved_game|Պահպանեալ խաղք
ui_exit_to_windows|Ելք
ui_credits|Հեղինակք
ui_version_value|տարբերակ %s
ui_active_quests|Գործուն յանձնարարութիւնք
ui_finished_quests|Աւարտեալ յանձնարարութիւնք
ui_given_on_date|Տուեալ յամսեանն: %s
ui_days_since_given|Աւուրք յետ տալոյն: %d
ui_quest_progression_number|Ընթացք յանձնարարութեան: %d%%
ui_too_many_quests|Յոյժ բազում են յանձնարարութիւնքն
ui_ok|Բարւոք է
ui_move_forward|Յառաջ
ui_move_backward|Յետս
ui_move_left|Ի ձախ
ui_move_right|Յաջ
ui_action|Գործողութիւն
ui_jump|Ոստնուլ
ui_attack|Յարձակուլ
ui_parry_then_attack|Պաշտպանուլ եւ յարձակուլ
ui_defend|Պաշտպանիլ
ui_kick|Հարուած ոտամբ
ui_equip_weapon_1|Զինուիլ 1-ին իրաւ
ui_equip_weapon_2|Զինուիլ 2-րդ իրաւ
ui_equip_weapon_3|Զինուիլ 3-րդ իրաւ
ui_equip_weapon_4|Զինուիլ 4-րդ իրաւ
ui_equip_next_weapon|Զինուիլ յաջորդ զինու
ui_equip_next_shield|Զինուիլ յաջորդ վահանաւ
ui_sheath_weapon|Դնել զզէնն ի պատեան
ui_character_window|Պատուհան կերպարի
ui_inventory_window|Պատուհան շտեմարանի
ui_party_window|Պատուհան գնդի
ui_quests_window|Պատուհան յանձնարարութեանց
ui_game_log_window|Պատուհան հաշուեմատեանի
ui_leave_location_retreat|Լքանել զտեղին/Նահանջել
ui_zoom|Մեծացուցանել/Փոքրացուցանել զտեսողութիւնն
ui_view_outfit|Տեսանել զհանդերձանս
ui_toggle_first_person_view|Տեսողութիւն յառաջին դիմաց
ui_view_orders|Տեսանել զհրամանս
ui_quick_save|Արագ պահպանում
ui_no_key_assigned|Չիք կոճակ նշանակեալ
ui_new_enemies_have_arrived|Նոր ուժք թշնամւոյ եկին:
ui_reinforcements_have_arrived|Աւժանդակ ուժք հասին:
ui_report_casualties|Հաշուետուութիւն կորստոց
ui_report_experience|Հաշուետուութիւն փորձառութեան
ui_current_level_value|Աստիճան: %d
ui_base_attribute_value|Յատկութիւն: %s
ui_battle_controls|Կառավարում մարտի
ui_map_controls|Կառավարում քարտէսի
ui_general_controls|Կառավարում ընդհանուր
ui_zoom_in|Մեծացուցանել
ui_zoom_out|Փոքրացուցանել
ui_wait|Սպասել
ui_take_screenshot|Առնուլ զպատկեր էկրանի
ui_randomize|Պատահական
ui_hint|Ակնարկ (Խորհուրդ)
ui_press_left_mouse_button_to_continue|Սեղմեցէ՛ք զձախ կոճակն մկան վասն շարունակութեան...
ui_loot|Յափշտակել
ui_chest|Արկղ
ui_cut_short|կ
ui_pierce_short|դ
ui_blunt_short|բ
ui_battle|Մարտ
ui_siege|Պաշարում
ui_troops|Գունդք:
ui_loading_module_info_file|Բեռնումն տեղեկութեանց մոդի...
ui_processing_ini_file|Մշակումն INI ֆայլի...
ui_loading_music|Բեռնումն երաժշտութեան...
ui_loading_data|Փոխանցումն տուեալաց...
ui_loading_setting_data|Բեռնումն կարգաւորութեանց...
ui_loading_textures|Բեռնումն կառուցուածոց...
ui_finished|Աւարտեցաւ:
ui_creating_game|Ստեղծումն խաղի...
ui_loading_savegame_file|Բեռնումն պահպանեալ խաղի...
ui_loading_map_file|Բեռնումն քարտէսի...
ui_initializing_map|Կազմումն քարտէսի...
ui_launching_game|Սկսումն խաղի...
ui_capital_battle|ՄԱՐՏ:
