ui_texture_detail|Մանրամասնութիւնք կերպասի:
ui_activation_denied|Ակտիւացումն ձախողեցաւ!
ui_notification_serial_already_used|Սերիական թիւն արդէն գործածեալ է յայլմէ համակարգչէ:
ui_notification_unable_to_connect_to_activation_server|Ոչ կարեմ միանալ առ սերվերն ակտիւացման!
ui_notification_unable_to_connect_to_activation_server2|Ստուգեցէ՛ք զկապ համացանցի եւ փորձեցէ՛ք վերստին:
ui_incorrect_serial_number|Սխալ սերիական թիւ!
ui_incorrect_hardware_hash|Սխալ կոդ սարքաւորման!
ui_incorrect_activation_code|Սխալ կոդ ակտիւացման!
ui_cant_write_to_registry|Ոչ կարեմ գրել ի ռեգիստր!
ui_video|Պատկեր
ui_audio|Ձայն
ui_game|Խաղ
ui_advanced|Յաւելեալ
ui_mount_and_blade_is_ready|Mount&Blade Warband պատրաստ է:
ui_notification_trial_mode|Mount&Blade Warband խաղայ փորձնական կերպիւ: Մինչեւ 6-րդ աստիճան:
ui_there_are_no_modules_installed|Չիք տեղակայեալ մոդուլք!
ui_notification_new_version|Գտաւ նոր տարբերակ Mount&Blade Warband-ի:
ui_new_version_found|Նոր տարբերակ գտաւ!
ui_notification_unable_to_retreive_new_version|Անկարելի է գտանել զնոր տարբերակ:
ui_new_version|Նոր տարբերակ:
ui_notification_latest_version|Դուք գործածէք զնորագոյն տարբերակն:
ui_mount_and_blade_is_up_to_date|Mount&Blade Warband արդիական է!
ui_off|Անջատեալ
ui_continue_playing_the_trial_mode|Շարունակել զփորձնական խաղն
ui_faq_caption|Հարց եւ պատասխանի
ui_faq_text|Տեղեկութիւնք վասն խաղոյ:
ui_auto_adjust|Ինքնակարգաւորում
ui_screen_size|Որոշակիութիւն էկրանի:
ui_antialiasing|Հարթեցում եզերաց:
ui_use_desktop_resolution|Որոշակիութիւն աշխատասեղանի
ui_play|Խաղալ զMount&Blade Warband
ui_check_for_new_version|Ստուգել զնոր տարբերակս
ui_configure|Կարգաւորութիւնք
ui_configure_caption|Կարգաւորութիւնք
ui_mountandblade_website|Պաշտօնական կայք:
ui_current_setting|           Արդի սցենար:
ui_manual_activation_text1|1) Բացէ՛ք զայս հասցէ ի բրաուզերի:
ui_manual_activation_text2|2) Գրեցէ՛ք զսերիական թիւն...
ui_manual_activation_text3|3) ...եւ զկոդ սարքաւորման այսր համակարգչի:
ui_manual_activation_text4|4) Յետոյ կայքն տացէ ձեզ զկոդ ակտիւացման: Գրեցէ՛ք զայն աստ:
ui_activation_code|Կոդ ակտիւացման:
ui_force_vsync|Ուղղահայեաց սինխրոնիզացում
ui_module_newer_than_application|Խաղն նորագոյն է քան զկիրառութիւնն:
ui_module_older_than_application|Խաղն հնագոյն է քան զկիրառութիւնն:
ui_m_low|Ցածր
ui_m_high|Բարձր
ui_m_ultra_high|Յոյժ բարձր
ui_force_single_threading|Միապրոցեսոր կերպ
ui_not_enough_memory|Չիք բաւական յիշողութիւն (RAM): Պահանջի առնուազն 700 MB:
ui_install|Տեղակայել զMount&Blade Warband
DirectXText|DirectX չիք:
NoMountAndBladeText|Խաղն չէ տեղադրեալ:
ui_SavegamesText|Կամի՞ս պահել զխաղս:
ui_trialmode_online|Mount&Blade Warband խաղայ փորձնական կերպիւ:
ui_launch_activate|Գրեցէ՛ք զսերիական թիւն
ui_trialmode2_online|Յետ գնելոյ լիցենզիա...
ui_trialmode3_online|Կամ եթէ ոչ կամիս...
ui_trialmode4_online|Գնումն առցանց է անվտանգ:
ui_ondemand_textures|Բեռնել զկառուցուածսն ըստ պահանջի
ui_language|Լեզու:
ui_steam_not_running|Steam ոչ է միացեալ: Պարտ է միացուցանել զSteam վասն խաղալոյ:
ui_switch_to_turkish_explanation|Կամի՞ս փոխել զլեզուն ի թուրքերէն:
ui_switch_to_turkish_yes|Այո
ui_switch_to_turkish_no|Ոչ
ui_new_version_message|Գոյ նոր տարբերակ:
ui_enable_version_check|Ստուգել զտարբերակս
ui_disable|Արգելել
ui_yes2|Այո՛
ui_no2|Ո՛չ
ui_new_version_message2|Գոյ նոր տարբերակ, այցելեա զկայքն:
